click sounds/click.ogg
player_shoot sounds/player_shoot.ogg
player_hit sounds/Powerup__008.ogg
player_explode sounds/playerexplode.ogg
invader_shoot sounds/enemy_shoot.ogg
invader_explode sounds/enemy_explotion.ogg
intro_music music/introwavybgm.ogg
game_music music/Grey_Sector_v0_86.ogg
bullet_hit sounds/Punch__007.ogg
invader_beat sounds/Pickup__003.ogg
invader_spawn sounds/Fire_4.ogg
ufo_explode sounds/Starpower__008.ogg
ufo_fly sounds/Pew__004.ogg
bunker_hit sounds/Punch__010.ogg
game_over_sound sounds/Game_Over.ogg
